,average_rating,num_pages,ratings_count,text_reviews_count,written_books,followers,quotes,discussions,questions,belongs_to_series,main_author,number_of_collaborators,merged_languages,publication_year,main_publisher
69,3.86,480,272,20,485.0,12700.0,143.0,5.0,1.0,1,Frank Herbert,1,eng,1984.0,Putnam
70,3.88,426,4789,83,854.0,2794.0,2.0,0.0,0.0,0,Frank Herbert,3,eng,2006.0,Tor Science Fiction
71,3.86,471,45388,644,485.0,12700.0,143.0,5.0,1.0,1,Frank Herbert,1,eng,1987.0,Ace Books
72,4.59,192,26153,102,177.0,128.0,0.0,0.0,2.0,0,Gary Russell,1,eng,2002.0,Houghton Mifflin Harcourt
73,4.35,544,69167,4551,52.0,1880.0,80.0,39.0,15.0,1,Bryce Courtenay,1,eng,1996.0,Ballantine Books
74,4.35,291,45,13,52.0,1880.0,80.0,39.0,15.0,1,Bryce Courtenay,1,eng,2005.0,Delacorte Books for Young Readers
75,4.28,256,16,1,763.0,5067.0,0.0,0.0,0.0,0,John C. Maxwell,3,eng,2004.0,Thomas Nelson
76,3.34,205,174,16,23.0,15.0,0.0,0.0,0.0,0,Dave Lakhani,1,eng,2006.0,Wiley
77,3.67,240,10,0,15.0,7.0,0.0,0.0,0.0,0,Louis E. Catron,1,eng,2000.0,Heinemann Drama
78,3.48,336,76,9,16.0,4.0,0.0,0.0,0.0,0,Adam Ginsberg,1,eng,2005.0,William Morrow Paperbacks
79,3.5,386,111,9,45.0,16.0,0.0,0.0,0.0,0,Marsha Collier,1,eng,2006.0,Wiley
80,3.62,260,24,0,7.0,4.0,0.0,0.0,0.0,0,Chris Malta,2,eng,2006.0,McGraw-Hill
81,3.55,384,55,4,45.0,16.0,0.0,0.0,0.0,0,Marsha Collier,1,eng,2004.0,Wiley
82,4.27,260,9,0,11.0,10.0,0.0,0.0,0.0,0,Julia Wilkinson,1,eng,2006.0,Wiley
83,3.39,391,22,1,45.0,16.0,0.0,0.0,0.0,0,Marsha Collier,1,eng,2004.0,Wiley
84,3.89,864,17,3,45.0,16.0,0.0,0.0,0.0,0,Marsha Collier,1,eng,2005.0,Wiley
85,3.84,873,166,4,14.0,158.0,0.0,0.0,0.0,0,Lucas Carlson,2,eng,2006.0,O'Reilly Media
86,4.12,240,50,5,9.0,3.0,0.0,0.0,0.0,0,Ruby Ann Boxcar,1,eng,2005.0,Citadel
87,4.08,206,13,2,9.0,3.0,0.0,0.0,0.0,0,Ruby Ann Boxcar,1,eng,2005.0,Citadel
88,3.48,514,64,1,4.0,0.0,0.0,0.0,0.0,0,Rob Orsini,1,eng,2007.0,O'Reilly Media
89,4.05,838,16643,1851,6447.0,23300.0,1552.0,412.0,85.0,0,Leo Tolstoy,3,eng,2004.0,Penguin Classics
90,4.05,960,109420,5696,6447.0,23300.0,1552.0,412.0,85.0,0,Leo Tolstoy,3,eng,2002.0,Signet
91,4.05,837,2904,309,6447.0,23300.0,1552.0,412.0,85.0,0,Leo Tolstoy,4,eng,2003.0,Penguin Books
92,3.85,80,16,3,13.0,1.0,1.0,0.0,0.0,0,Marianne Sturman,2,eng,1965.0,Cliffs Notes
93,4.05,803,9564,726,6449.0,23300.0,1552.0,412.0,85.0,0,Leo Tolstoy,3,eng,2003.0,Barnes & Noble Classics
94,4.05,752,474,72,6447.0,23300.0,1552.0,412.0,85.0,0,Leo Tolstoy,3,eng,2004.0,Dover Publications
95,4.05,803,303,48,6447.0,23300.0,1552.0,412.0,85.0,0,Leo Tolstoy,3,eng,2004.0,Barnes & Noble
96,2.99,360,411,65,40.0,51.0,2.0,0.0,0.0,0,Gloria Goldreich,1,eng,2006.0,Mira Books
97,4.19,128,1204,33,12.0,5.0,0.0,1.0,1.0,0,Anthony Thorlby,1,eng,1987.0,Cambridge University Press
98,3.71,160,3429,279,172.0,211.0,8.0,6.0,3.0,0,Mulk Raj Anand,2,eng,1990.0,Penguin Books
99,3.95,367,2163,216,109.0,1826.0,32.0,4.0,3.0,0,John Banville,1,eng,1998.0,Vintage
100,3.89,256,613,31,8.0,9.0,0.0,0.0,0.0,0,Eliot Ness,2,eng,1996.0,Buccaneer Books
101,3.82,320,308,40,25.0,51.0,9.0,0.0,0.0,0,Narendra Jadhav,1,eng,2005.0,Scribner
102,4.2,100,10,0,14.0,2.0,0.0,0.0,0.0,0,V.T. Rajshekar,2,eng,1995.0,Clarity Press
103,3.65,224,16,4,6.0,3.0,0.0,0.0,0.0,0,Vasant Moon,3,eng,2000.0,Rowman & Littlefield Publishers
104,3.4,216,10,0,12.0,2.0,0.0,0.0,0.0,0,Barry R. Cournoyer,1,eng,2003.0,Pearson
105,4.0,48,17,0,5.0,0.0,0.0,0.0,0.0,0,John Carratello,3,eng,1991.0,Teacher Created Resources
106,4.01,360,1035,23,7.0,28.0,8.0,2.0,0.0,0,George Smoot,2,eng,1994.0,Harper Perennial
107,4.0,250,36,6,206.0,8432.0,250.0,339.0,96.0,1,Madeleine L'Engle,1,eng,2002.0,EMC
108,3.6,32,15,0,6.0,0.0,0.0,0.0,0.0,0,Tara MacCarthy,1,eng,2002.0,Teaching Resources
109,4.0,205,6,1,206.0,8432.0,250.0,339.0,96.0,0,Madeleine L'Engle,1,non-eng,1984.0,Turtleback Books
110,4.12,367,376,17,162.0,411.0,0.0,0.0,0.0,1,Cynthia Harrod-Eagles,1,eng,1994.0,Little Brown Book Group
111,4.11,352,3086,237,88.0,3190.0,7.0,1.0,2.0,1,Charles Todd,1,eng,2006.0,William Morrow
112,3.94,320,352,44,13.0,157.0,16.0,1.0,0.0,0,Ewan McGregor,3,eng,2005.0,Atria Books
113,3.6,331,9852,633,248.0,2793.0,13.0,20.0,2.0,1,Daniel Abraham,1,eng,2006.0,Tor Books
114,3.9,244,821,78,70.0,369.0,0.0,0.0,0.0,1,Charles Willeford,2,eng,2004.0,Vintage Crime
115,4.05,215,731,72,69.0,369.0,4.0,0.0,0.0,0,Charles Willeford,2,eng,2005.0,Vintage Crime
116,3.94,191,2897,178,69.0,369.0,2.0,2.0,1.0,1,Charles Willeford,2,eng,2004.0,Vintage Crime
117,3.89,144,98,11,69.0,369.0,0.0,0.0,0.0,0,Charles Willeford,1,eng,1990.0,Vintage
118,3.42,738,20888,1688,194.0,2607.0,14.0,5.0,1.0,0,Tom Wolfe,1,eng,2005.0,Picador USA
119,3.91,48,66,19,634.0,187.0,0.0,1.0,0.0,0,Edward Lear,3,eng,2001.0,Sterling
120,4.02,287,81,6,755.0,681.0,0.0,0.0,0.0,0,Quentin Blake,1,eng,1996.0,Puffin
121,4.22,217,981,52,726.0,4620.0,35.0,0.0,0.0,0,Henry Miller,2,eng,1964.0,New Directions Publishing
122,3.69,154,3381,141,726.0,4620.0,8.0,1.0,0.0,0,Henry Miller,1,eng,1994.0,Grove Press
123,3.68,318,53206,2376,726.0,4620.0,410.0,28.0,4.0,0,Henry Miller,2,eng,1994.0,Grove Press
124,3.78,348,14872,459,726.0,4620.0,193.0,5.0,2.0,0,Henry Miller,1,eng,1994.0,Grove Press
125,4.1,316,3261,58,726.0,4620.0,7.0,3.0,2.0,1,Henry Miller,1,eng,1994.0,Grove Press
126,3.98,506,7805,251,726.0,4620.0,58.0,2.0,1.0,1,Henry Miller,1,eng,1994.0,Grove Press
127,3.83,292,2699,142,726.0,4620.0,60.0,7.0,0.0,0,Henry Miller,1,eng,1970.0,New Directions
128,3.78,797,61640,1951,4143.0,3341.0,309.0,32.0,10.0,0,Henry James,2,eng,2003.0,Penguin Classics
129,3.78,635,392,41,4143.0,3341.0,309.0,32.0,10.0,0,Henry James,3,eng,2004.0,Barnes Noble Classics
130,3.75,91,778,44,294.0,2542.0,58.0,4.0,0.0,0,Marguerite Duras,1,eng,1999.0,Brookline Books
131,3.85,192,963,65,294.0,2542.0,1.0,2.0,1.0,0,Marguerite Duras,2,eng,1994.0,The New Press
132,3.66,181,2057,128,294.0,2542.0,25.0,5.0,1.0,0,Marguerite Duras,2,eng,1986.0,Pantheon
133,3.68,178,203,8,1516.0,1400.0,4.0,0.0,0.0,0,Kahlil Gibran,3,eng,1999.0,One World (UK)
134,4.21,464,35,2,6.0,4.0,0.0,0.0,0.0,0,Jean Gibran,3,eng,1998.0,Interlink Publishing Group
135,4.19,102,328,16,1516.0,1400.0,4.0,0.0,0.0,0,Kahlil Gibran,3,eng,1998.0,Penguin Books
136,3.98,216,1308,82,1516.0,1400.0,31.0,2.0,1.0,0,Kahlil Gibran,2,eng,1995.0,Knopf
137,3.92,132,6432,517,1516.0,1400.0,248.0,14.0,8.0,0,Kahlil Gibran,3,eng,2003.0,Citadel
138,4.08,100,3015,217,1516.0,1400.0,296.0,3.0,2.0,0,Kahlil Gibran,2,eng,2011.0,Knopf
139,3.83,311,318753,6734,10200.0,5917.0,203.0,147.0,33.0,0,Robert Louis Stevenson,1,eng,2001.0,Kingfisher
140,3.83,213,420,42,10200.0,5916.0,203.0,147.0,33.0,0,Robert Louis Stevenson,2,eng,2004.0,Sterling Children's Books
141,3.83,245,5967,276,10200.0,5917.0,203.0,147.0,33.0,0,Robert Louis Stevenson,1,eng,2005.0,Simon & Schuster
142,3.83,64,104,14,10200.0,5916.0,203.0,147.0,33.0,0,Robert Louis Stevenson,3,eng,2003.0,Atheneum Books for Young Readers
143,3.83,272,56,4,10200.0,5916.0,203.0,147.0,33.0,0,Robert Louis Stevenson,2,eng,2002.0,Gramercy Books
144,4.05,232,91,16,34.0,15.0,0.0,1.0,0.0,0,Deidre S. Laiken,3,eng,2006.0,Abdo Publishing Company
145,4.61,270,88,4,103.0,11.0,1.0,0.0,0.0,0,Ralph Ginzburg,1,eng,1996.0,Black Classic Press
146,4.07,448,63,7,761.0,34900.0,822.0,173.0,90.0,0,Gabriel García Márquez,1,non-eng,1990.0,French & European
147,4.04,64,2815,164,801.0,17400.0,0.0,1.0,1.0,0,Dr. Seuss,1,eng,1955.0,Random House Books for Young Readers
148,3.6,256,95,13,31.0,30.0,0.0,1.0,1.0,0,Debbie Raleigh,1,eng,2005.0,Zebra
149,3.44,147,217,24,136.0,1080.0,0.0,1.0,0.0,0,Kevin Henkes,1,eng,2005.0,Greenwillow Books
150,4.02,239,4136,255,68.0,3436.0,205.0,92.0,30.0,0,Patrick Süskind,1,non-eng,2002.0,Booket
151,4.01,304,17232,649,794.0,9231.0,30.0,15.0,2.0,0,Robert A. Heinlein,1,eng,1997.0,Del Rey
152,3.92,528,251872,6241,794.0,9233.0,428.0,55.0,21.0,0,Robert A. Heinlein,1,eng,1991.0,Ace
153,3.87,434,10293,193,795.0,9229.0,14.0,0.0,1.0,0,Robert A. Heinlein,1,eng,1988.0,Ace Books
154,3.78,439,15970,438,795.0,9229.0,9.0,4.0,0.0,0,Robert A. Heinlein,1,eng,1985.0,Del Rey
155,3.97,256,6898,200,794.0,9232.0,1.0,4.0,1.0,1,Robert A. Heinlein,1,eng,2006.0,Tor Books
156,4.06,307,67803,1401,161.0,21900.0,93.0,4.0,3.0,1,Douglas Adams,1,eng,1991.0,Pocket Books
157,3.93,298,22091,746,161.0,21900.0,138.0,5.0,3.0,1,Douglas Adams,1,eng,2005.0,Del Rey
158,4.14,368,2623,49,5.0,8.0,4.0,0.0,0.0,0,Nick  Webb,1,eng,2005.0,Del Rey
159,3.6,256,885,84,184.0,271.0,3.0,2.0,1.0,0,Terry Jones,1,eng,1998.0,Ballantine Books
160,3.93,336,5,0,161.0,21900.0,138.0,5.0,3.0,0,Douglas Adams,2,eng,2003.0,Turtleback Books
161,4.13,72,100,13,9.0,13.0,1.0,0.0,0.0,0,Susan Nanus,2,eng,2011.0,Samuel French Inc.
162,3.57,67,9358,995,36.0,283.0,21.0,1.0,2.0,0,Harry G. Frankfurt,1,eng,2005.0,Princeton University Press
163,3.78,347,9318,907,50.0,364.0,36.0,2.0,2.0,0,Nick Flynn,1,eng,2005.0,W. W. Norton & Company
164,4.14,317,120,15,129.0,201.0,2.0,1.0,0.0,0,Garry Wills,1,eng,1993.0,Simon & Schuster
165,4.53,32,5239,76,1600.0,1648.0,5.0,0.0,0.0,0,Abraham Lincoln,2,eng,1998.0,HMH Books for Young Readers
166,3.92,827,1505,175,92.0,5712.0,84.0,14.0,7.0,0,Don DeLillo,1,eng,1998.0,Scribner
167,3.99,480,11857,564,92.0,5712.0,83.0,3.0,1.0,0,Don DeLillo,1,eng,1991.0,Penguin
168,3.43,377,393,55,92.0,5712.0,52.0,1.0,2.0,0,Don DeLillo,1,eng,1989.0,Penguin Books
169,3.43,256,1356,72,92.0,5712.0,6.0,0.0,0.0,0,Don DeLillo,1,eng,1989.0,Vintage Contemporaries
170,3.22,224,460,41,92.0,5712.0,89.0,4.0,0.0,0,Don DeLillo,1,eng,2004.0,Scribner
171,3.48,272,2492,145,92.0,5712.0,12.0,0.0,1.0,0,Don DeLillo,1,eng,1994.0,Penguin Books
172,3.64,339,3100,212,92.0,5712.0,53.0,2.0,1.0,0,Don DeLillo,1,eng,1989.0,Vintage
173,4.13,1085,5296,587,66.0,6171.0,115.0,21.0,3.0,0,Thomas Pynchon,1,eng,2006.0,Penguin Press
174,3.96,547,1415,177,66.0,6171.0,93.0,13.0,4.0,0,Thomas Pynchon,1,eng,2005.0,Harper Perennial Modern Classics
175,3.69,152,2161,230,66.0,6171.0,129.0,32.0,6.0,0,Thomas Pynchon,1,eng,1999.0,Harper Perennial
176,4.01,784,762,213,66.0,6171.0,289.0,47.0,21.0,0,Thomas Pynchon,1,eng,2000.0,Penguin Books
177,4.07,773,8086,602,66.0,6171.0,116.0,20.0,4.0,0,Thomas Pynchon,3,eng,2004.0,Picador USA
178,3.69,385,702,69,66.0,6171.0,38.0,1.0,4.0,0,Thomas Pynchon,1,eng,1997.0,Penguin Classics
179,4.01,776,29764,2164,66.0,6171.0,289.0,47.0,21.0,0,Thomas Pynchon,1,eng,2006.0,Penguin Books
180,3.5,193,334,34,66.0,6171.0,10.0,0.0,1.0,0,Thomas Pynchon,1,eng,1985.0,Back Bay Books
181,3.8,352,2473,220,7.0,60.0,8.0,0.0,1.0,0,Richard Fariña,2,eng,1996.0,Penguin Classics
182,3.89,227,2656,336,77.0,12100.0,243.0,29.0,8.0,0,Joan Didion,1,eng,2005.0,Knopf Publishing Group
183,4.17,222,11889,738,77.0,12100.0,71.0,7.0,3.0,0,Joan Didion,1,eng,1990.0,Farrar Straus Giroux
184,3.8,272,2962,255,77.0,12100.0,5.0,0.0,2.0,0,Joan Didion,1,eng,1995.0,Vintage International
185,3.86,240,2842,292,77.0,12100.0,16.0,1.0,1.0,0,Joan Didion,1,eng,2004.0,Vintage
186,4.21,238,26934,1825,77.0,12100.0,261.0,10.0,5.0,0,Joan Didion,1,eng,1990.0,Farrar Straus Giroux
187,3.81,234,2070,169,77.0,12100.0,5.0,1.0,0.0,0,Joan Didion,1,eng,1995.0,Vintage International
188,4.5,1122,1564,108,77.0,12100.0,0.0,1.0,2.0,0,Joan Didion,2,eng,2006.0,Everyman's Library
189,3.87,231,23656,1706,77.0,12100.0,74.0,11.0,6.0,0,Joan Didion,2,eng,2005.0,Farrar Straus and Giroux
190,3.89,308,43200,1873,350.0,10600.0,86.0,26.0,5.0,0,Paul Auster,3,eng,2006.0,Penguin Classics
191,3.79,203,12410,734,350.0,10600.0,25.0,6.0,3.0,1,Paul Auster,1,eng,1987.0,Penguin Books
192,3.64,96,3672,195,350.0,10600.0,7.0,1.0,1.0,1,Paul Auster,1,eng,1987.0,Penguin Books
193,3.89,179,2998,164,350.0,10600.0,15.0,0.0,2.0,1,Paul Auster,1,eng,1986.0,Sun and Moon Press
194,3.89,256,74,2,57.0,24.0,0.0,0.0,0.0,0,Peter Moon,3,eng,1995.0,Sky Books (NY)
195,3.84,306,17977,1157,350.0,10600.0,68.0,9.0,3.0,0,Paul Auster,1,eng,2006.0,Picador
196,3.94,320,16099,503,350.0,10600.0,62.0,6.0,3.0,0,Paul Auster,1,eng,1990.0,Penguin Books
197,3.9,217,361,36,350.0,10600.0,13.0,10.0,1.0,0,Paul Auster,1,eng,1991.0,Penguin Books
198,3.23,145,6688,562,350.0,10600.0,12.0,0.0,1.0,0,Paul Auster,1,eng,2007.0,Henry Holt & Company
199,3.96,275,11744,443,350.0,10600.0,33.0,2.0,1.0,0,Paul Auster,1,eng,1993.0,Penguin Books
200,3.77,104,2390,120,350.0,10600.0,2.0,0.0,0.0,0,Paul Auster,1,eng,2002.0,New Directions
201,4.38,1075,21,1,350.0,10600.0,0.0,0.0,0.0,0,Paul Auster,1,non-eng,2002.0,Actes Sud
202,3.93,608,52522,2780,32.0,6989.0,85.0,12.0,4.0,0,Jared Diamond,1,eng,2005.0,Penguin Books Ltd. (London)
203,3.4,211,213,26,23.0,11.0,0.0,0.0,0.0,0,Stephen Leeb,2,eng,2006.0,Business Plus
204,4.15,262,719,86,16.0,72.0,2.0,2.0,0.0,0,Joseph A. Tainter,1,eng,1990.0,Cambridge University Press
205,3.8,544,4762,512,21.0,335.0,19.0,2.0,4.0,0,Robert D. Putnam,1,eng,2001.0,Simon Schuster
206,3.91,272,62,4,18.0,26.0,0.0,0.0,0.0,0,Philip K. Howard,1,eng,2002.0,Ballantine Books
207,4.39,576,278,20,5.0,5.0,0.0,0.0,1.0,0,Joy Harjo,5,eng,1998.0,W. W. Norton Company
208,4.01,88,2862,262,348.0,1261.0,60.0,3.0,4.0,0,Nikola Tesla,1,eng,2006.0,Filiquarian Publishing LLC.
209,3.78,542,2829,334,26.0,30.0,18.0,2.0,1.0,0,Marc J.  Seifer,2,eng,2001.0,Citadel
210,3.93,144,105,5,10.0,7.0,0.0,0.0,0.0,0,Carol Dommermuth-Costa,1,eng,1994.0,Lerner Publications
211,4.13,100,102,2,348.0,1261.0,0.0,0.0,0.0,0,Nikola Tesla,2,eng,2000.0,Adventures Unlimited Press
212,3.77,249,478,12,42.0,2.0,0.0,0.0,0.0,0,Julie Elizabeth Leto,3,eng,2006.0,Harlequin Blaze
213,4.03,828,1577,49,155.0,136.0,1.0,0.0,0.0,0,Dave Thomas,3,eng,2004.0,Pragmatic Bookshelf
214,3.95,112,73,8,29.0,0.0,0.0,0.0,0.0,0,Maureen Kelly,3,eng,2000.0,Cliffs Notes
215,3.68,6,408,96,132.0,3740.0,235.0,498.0,118.0,0,William Golding,1,eng,2005.0,Listening Library (Audio)
216,4.11,397,1693,100,68.0,837.0,3.0,1.0,0.0,0,Victor Davis Hanson,1,eng,2006.0,Random House
217,4.14,216,1,0,23.0,7.0,0.0,0.0,0.0,0,Ephraim Sevela,2,eng,1989.0,HarperCollins Publishers
218,3.81,328,6485,966,25.0,4754.0,261.0,181.0,72.0,0,Alice Sebold,1,eng,2003.0,Picador
219,3.81,532,367,73,25.0,4754.0,261.0,181.0,71.0,0,Alice Sebold,1,eng,2004.0,Large Print Press
220,3.8,224,1371,43,126.0,1008.0,0.0,0.0,0.0,1,Sharyn McCrumb,1,eng,1990.0,Ballantine Books
